datetime,title
2019-09-19,学籍 | 关于做好2019-2020学年第一学期研究生新生注册工作的通知
2019-09-19,通知 | 关于2019年下半年国家四六级考试报名通知
2019-09-19,通知 | 关于2019-2020学年第一学期研究生院院长接待日安排的通知
2019-09-19,通知 | 关于首届全国研究生科学道德和学风建设论坛参会研究生同学报到安排等事项的通知
2019-09-19,培养 | 关于组织开展“卓越博士生科研促进计划”第二批资助项目申报工作的通知（研通字[2019]59...
2019-09-19,公告 | Ehall系统中研究生相关系统登录方式及“研究生新生基本信息确认”系统登录方式说明
2019-09-19,学籍 | 关于2019-2020学年第一学期研究生老生自助注册开通的通知
2019-09-19,学籍 | 关于做好 2019级研究生入学工作的通知（研通字[2019]54号）
2019-09-19,教学 | 关于做好2019-2020学年研究生第一外国语课程（英语）免修申请审核工作的通知
2019-09-19,学籍 | 复旦大学研究生院关于在校研究生补录父母或监护人信息的通知（研通字【2019】53号）
2019-09-19,学籍 | 关于做好2019-2020学年第一学期结业转毕业工作的通知（研通字【2019】52号）
2019-09-19,学籍 | 关于做好2019-2020学年第一学期研究生结业及延期毕业申请工作的通知（研通字【2019】51号...
2019-09-19,通知 | 关于首届研究生科学道德和学风建设论坛改期举行的通知
2019-09-19,通知 | 关于公布“首届研究生科学道德和学风建设论坛”投稿论文评审结果及拟邀请参会论文作者名...
2019-07-05,学籍 | 关于做好2019-2020学年第一学期研究生老生注册工作通知（研通字[2019]50号）
2019-07-05,培养 | 关于公布“卓越博士生科研促进计划”立项名单的通知（研通字[2019]49号）
2019-07-05,通知 | 复旦大学2019年博士生短期国际访学资助计划第二批拟资助学生名单公示通知
2019-07-05,教学 | 关于做好2019-2020学年第一学期研究生教学教务工作安排的通知
2019-07-05,通知 | 复旦大学2019年博士生短期国际访学资助计划第一批拟资助学生名单公示通知
2019-07-05,通知 | 首届研究生科学道德和学风建设论坛征文通知（第二轮）
2019-07-05,通知 | 关于爱久研究生社会化公寓的问答
2019-07-05,通知 | 关于复旦大学2019级全日制专业学位硕士研究生校外住宿点开放申请的通知
2019-07-05,通知 | 中共上海市委党校第十六届青年学术论坛征文通告
2019-07-05,通知 | “中国高校人工智能人才国际培养计划”2019年首批项目实施及报名通知
2019-07-05,通知 | 关于组织开展“卓越博士生科研促进计划”申报工作的通知（研通字[2019]38号）
2019-07-05,培养 | 复旦大学2019年国家留学基金管理委员会“国际组织后备人才培养项目”拟推荐人选公示通知
2019-07-05,通知 | 中国航空研究院上海分院结构优化设计大赛
2019-07-05,通知 | 关于举办2019年（第六届）全国大学生统计建模大赛的通知
2019-05-28,通知 | “华为杯”第十六届中国研究生数学建模竞赛参赛通知
2019-05-28,通知 | 关于开展2019年复旦大学博士生短期国际访学资助计划申报工作的通知
2019-05-28,通知 | 2019年中国研究生创新实践系列大赛
2019-05-28,FIST | 2019年复旦大学研究生FIST项目课程选课报名通知
2019-05-28,通知 | 关于公布2019年复旦大学研究生FIST项目立项课程名单的通知
2019-05-28,通知 | 复旦大学关于遴选2020-2021学年度“中美富布莱特项目”联合培养博士生子项目候选人的通知
2019-05-28,通知 | 关于2018-2019学年第二学期研究生院院长接待日安排的通知
2019-05-28,通知 | 关于公布2019年全国大学生英语竞赛初赛复旦大学分赛区获奖名单的通知
2019-05-28,通知 | 中国研究生机器人创新设计大赛组委会秘书处  关于举办“博实杯”第一届中国研究生机器人...
2019-05-28,通知 | 关于2020年上海研究生教育优质资源共享与公共服务平台项目申报工作的通知
2019-05-28,培养 | 2019年广州市“菁英计划”留学项目申报信息
2019-05-28,通知 | 关于2019年6月、10月毕业研究生证件照采集工作的通知
2019-05-28,通知 | 关于启动2019年研究生FIST课程项目申报建设工作的通知
2019-05-28,培养 |  复旦大学2019年度国家留学基金管理委员会资助留学项目拟推荐人选公示名单（第二批）
2019-04-04,通知 | 关于2019年“中国研究生创新实践系列大赛”的通知
2019-04-04,通知 | 关于举办2019年“中国研究生创新实践系列大赛”的通知
2019-04-04,培养 | 2019年中俄政府奖学金项目拟推荐候选人名单公示
2019-04-04,培养 | 关于开展2019年上海市研究生创新创业能力培养计划申报工作的通知
2019-04-04,通知 | 关于做好2019年6月毕业批次研究生申请结业及延期毕业的通知
2019-04-04,培养 | 复旦大学2019年国家留学基金资助出国留学人员推荐候选人（研究生）第一批名单公示
2019-04-04,通知 | 复旦大学研究生首届“未来学者”候选人网络提名活动指南
2019-04-04,通知 | 关于2019年上半年全国大学外语四、六级考试报名的通知
2019-04-04,通知 | 关于举办2019年研究生暑期学校的通知
2019-04-04,通知 | 关于举办第五届中国研究生未来飞行器创新大赛的通知
2019-04-04,通知 | 2019年全国大学生英语竞赛（NECCS）复旦大学在校生参赛报名通知
2019-04-04,通知 | 首届研究生科学道德和学风建设论坛征文通知
2019-04-04,通知 | 关于做好2019年国家留学基金资助出国留学项目选派工作的通知
2019-04-04,通知 | 关于做好2019年创新型人才国际合作培养项目新项目申报工作的通知
2019-02-27,通知 | 关于2018-2019学年第二学期研究生院院长接待日安排的通知
2019-02-27,学籍 | 研究生院关于做好2018-2019学年第二学期在邯郸校区试行自助注册的通知
2019-02-27,学籍 | 关于做好2018-2019学年第二学期研究生结业转毕业工作的通知
2019-02-27,学籍 | 关于做好2018-2019学年第二学期研究生注册工作通知
2019-02-27,通知 | 复旦大学研究生院关于在校研究生补录父母及监护人信息的通知
2019-02-27,通知 | 关于做好2019年国家留学基金资助出国留学项目选派工作的预通知
2019-02-27,教学 | 关于做好2018-2019学年第二学期教学教务工作安排的通知
2019-02-27,培养 | 复旦大学2019年国家公派留学项目申请材料准备辅导会信息
2019-02-27,通知 | 关于2019年人社部全国博士后管委会博士后创新人才支持计划(“博新计划”) 申请的通知
2019-02-27,通知 | 关于做好2019年元旦节放假教学工作调整安排以及教学楼开放调整安排的通知
2019-02-27,通知 | 复旦大学2019年国家公派研究生项目宣讲会信息
2019-02-27,通知 | 关于开展第十六届“挑战杯”全国大学生课外学术科技作品竞赛复旦大学校内选拔赛的通知
2019-02-27,通知 | 关于2019年春季毕业研究生证件照采集工作的通知
2019-02-27,培养 |  2018博士生国际招生面试交流会信息
2018-10-24,培养 |  关于2019-2020年耶鲁大学福克斯国际奖学金项目的通知
2018-10-24,通知 | 复旦大学2019年硕博研究生招生上海地区宣讲会（第二场）通知
2018-10-24,通知 | 关于做好2018年首届中国国际进口博览会期间教学工作调整安排的通知
2018-10-24,培养 | 复旦大学-巴黎高师班招生通知(2018)
2018-10-24,培养 | 关于组织我校研究生报名参加东莞市名校研究生培养（实践）的通知
2018-10-24,通知 |关于禁止本校各机构和教职员工、在校生举办或参加研究生考试招生辅导活动的通知
2018-10-24,通知 | 关于组织收看2018年全国科学道德和学风建设宣讲教育报告会的通知
2018-10-24,通知 | 关于2018-2019学年第一学期研究生院院长接待日安排的通知
2018-10-24,通知 | 关于2019年上海一流研究生教育项目申报工作的通知
